id,sfg_id,multipolygon_id,polygon_id,linestring_id,x,y,geo_join_id
101,2,2,1,1,1012516,256866,101
101,2,2,1,1,1012510,256972,101
101,2,2,1,1,1012496,257078,101
101,2,2,1,1,1012480,257184,101
101,2,2,1,1,1012456,257288,101
101,2,2,1,1,1012428,257392,101
101,2,2,1,1,1012394,257494,101
101,2,2,1,1,1012356,257592,101
101,2,2,1,1,1012338,257628,101
101,2,2,1,1,1012316,257660,101
101,2,2,1,1,1012288,257692,101
101,2,2,1,1,1012256,257718,101
101,2,2,1,1,1012220,257740,101
101,2,2,1,1,1012182,257756,101
101,2,2,1,1,1012142,257768,101
101,2,2,1,1,1012102,257772,101
101,2,2,1,1,1012062,257772,101
101,2,2,1,1,1012024,257772,101
101,2,2,1,1,1011984,257776,101
101,2,2,1,1,1011944,257788,101
101,2,2,1,1,1011908,257806,101
101,2,2,1,1,1011874,257830,101
101,2,2,1,1,1011846,257858,101
101,2,2,1,1,1011822,257888,101
101,2,2,1,1,1011806,257932,101
101,2,2,1,1,1011794,257978,101
101,2,2,1,1,1011786,258026,101
101,2,2,1,1,1011786,258074,101
101,2,2,1,1,1011790,258122,101
101,2,2,1,1,1011800,258170,101
101,2,2,1,1,1011814,258214,101
101,2,2,1,1,1011834,258258,101
101,2,2,1,1,1011876,258340,101
101,2,2,1,1,1011956,258590,101
101,2,2,1,1,1012022,258666,101
101,2,2,1,1,1011846,258826,101
101,2,2,1,1,1011636,258586,101
101,2,2,1,1,1011620,258568,101
101,2,2,1,1,1011538,258464,101
101,2,2,1,1,1011436,258540,101
101,2,2,1,1,1011310,258292,101
101,2,2,1,1,1011146,257702,101
101,2,2,1,1,1011264,257638,101
101,2,2,1,1,1011206,257388,101
101,2,2,1,1,1011144,257128,101
101,2,2,1,1,1011060,256804,101
101,2,2,1,1,1011042,256684,101
101,2,2,1,1,1010974,256506,101
101,2,2,1,1,1010930,256436,101
101,2,2,1,1,1010898,256268,101
101,2,2,1,1,1010792,256238,101
101,2,2,1,1,1010696,256230,101
101,2,2,1,1,1010574,256210,101
101,2,2,1,1,1010336,256050,101
101,2,2,1,1,1010080,255832,101
101,2,2,1,1,1009854,255612,101
101,2,2,1,1,1009736,255406,101
101,2,2,1,1,1009604,255220,101
101,2,2,1,1,1009610,255260,101
101,2,2,1,1,1009640,255398,101
101,2,2,1,1,1009674,255534,101
101,2,2,1,1,1009716,255668,101
101,2,2,1,1,1009798,255926,101
101,2,2,1,1,1009744,255996,101
101,2,2,1,1,1009728,256006,101
101,2,2,1,1,1009922,256568,101
101,2,2,1,1,1010216,257414,101
101,2,2,1,1,1010224,257438,101
101,2,2,1,1,1010206,257444,101
101,2,2,1,1,1010146,257466,101
101,2,2,1,1,1010138,257442,101
101,2,2,1,1,1009576,255868,101
101,2,2,1,1,1009584,256018,101
101,2,2,1,1,1009588,256170,101
101,2,2,1,1,1009586,256320,101
101,2,2,1,1,1009578,256472,101
101,2,2,1,1,1009566,256622,101
101,2,2,1,1,1009548,256772,101
101,2,2,1,1,1009524,256920,101
101,2,2,1,1,1009494,257068,101
101,2,2,1,1,1009436,257042,101
101,2,2,1,1,1009424,257066,101
101,2,2,1,1,1009414,257090,101
101,2,2,1,1,1009400,257108,101
101,2,2,1,1,1009392,257120,101
101,2,2,1,1,1009390,257128,101
101,2,2,1,1,1009390,257134,101
101,2,2,1,1,1009378,257152,101
101,2,2,1,1,1009368,257160,101
101,2,2,1,1,1009364,257170,101
101,2,2,1,1,1009360,257190,101
101,2,2,1,1,1009350,257204,101
101,2,2,1,1,1009344,257214,101
101,2,2,1,1,1009342,257226,101
101,2,2,1,1,1009318,257264,101
101,2,2,1,1,1009296,257306,101
101,2,2,1,1,1009276,257340,101
101,2,2,1,1,1009266,257354,101
101,2,2,1,1,1009256,257370,101
101,2,2,1,1,1009254,257372,101
101,2,2,1,1,1009252,257380,101
101,2,2,1,1,1009240,257388,101
101,2,2,1,1,1009236,257394,101
